Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof,left_foot_height,right_foot_height
21,-0.7666606307029724,-4.640895366668701,84.46871948242188,1.0705258455033126,-0.0443072140167815,92.5670533067495,6.2796655,4.394959,20.975327,6.3552556,-5.5050383,-1.4867339,4.965911,-8.4134,-24.545746,6.3831744,-5.3395305,5.1379466,0.2830213,-1.2224314,4.2671733,-52.47441,18.774836,-27.938969,36.60093,-2.6390412,1.0581528,15.054256,-41.335,-20.977457,22.166378,35.24665,9.885166,-3.4100146,-24.048561,18.358749,12.282989
22,-0.6279301047325134,-4.9492387771606445,84.45769500732422,1.1404593562981915,0.2756794048341252,92.70869074175918,5.632636,4.410275,20.878061,6.3137765,-5.1823926,-1.6896759,4.332797,-8.385806,-24.458729,6.4731092,-4.8649335,4.6337686,0.035832014,-0.9564783,6.4552975,-60.61257,19.275938,-27.050333,34.612103,-2.885677,1.1141173,15.507934,-51.26569,-21.96776,22.433277,35.662876,12.435749,-3.108325,-23.847187,18.410927,12.281076
23,-0.4644931852817535,-5.201747894287109,84.48471069335938,1.214937558447751,0.618499579784362,92.91180905556168,4.955802,4.560006,21.135006,6.448812,-4.6912713,-1.5658977,3.7845252,-8.285043,-24.338856,6.398119,-4.16922,4.354464,-0.046401385,-0.56718874,8.984741,-68.47571,19.823488,-26.43644,33.182858,-4.1401744,0.6410425,15.22687,-60.972134,-22.983952,22.750843,36.34695,15.826676,-3.5249212,-24.484999,18.43311,12.236641
24,-0.285671979188919,-5.4126877784729,84.4748306274414,1.4933202136573045,0.7444935213303256,93.2573982823677,4.485264,4.4003224,20.962244,6.510693,-3.8574252,-1.6764895,3.4555278,-8.426646,-24.28053,6.4796586,-3.419957,3.8251908,-0.13507956,-0.20317255,11.689097,-76.32126,20.244291,-26.23628,32.373062,-3.548694,1.4913695,15.457789,-70.74188,-23.831617,23.50685,37.590736,17.542624,-3.2121387,-24.337124,18.438429,12.268544
25,-0.1164352297782898,-5.59903621673584,84.42420196533203,1.6060798782467611,1.067378788611687,93.4397837649025,3.8935266,4.436287,20.93701,6.5566664,-3.377956,-1.7438936,2.894151,-8.333074,-24.05772,6.523613,-2.4689403,3.4760156,-0.12042668,0.27799782,14.735871,-83.87541,20.5954,-26.22359,32.239502,-4.465297,2.1223817,16.111458,-80.00427,-24.535286,24.198973,38.806107,19.253975,-2.7996736,-24.877155,18.44568,12.183176
26,0.0351706780493259,-5.791140079498291,84.36839294433594,1.7252782923404286,1.4953215447325248,93.70909800414618,3.1286485,4.483892,20.986427,6.7078714,-2.50036,-1.7810352,2.207176,-8.324634,-24.05084,6.6933045,-1.5273657,3.1077042,-0.14537999,0.61810374,18.098032,-90.60959,20.886723,-26.701277,32.44608,-5.8907814,2.2652905,16.139727,-88.05833,-25.194641,25.055508,39.642025,21.082205,-2.7795613,-25.058956,18.445958,12.139621
27,0.1597182750701904,-6.017466068267822,84.22373962402344,1.7580026698059923,2.425895450694678,93.92638531280215,1.7638465,4.580758,20.918047,6.88133,-1.4312311,-1.8029047,0.94587344,-8.24088,-24.039286,6.8621063,-0.45722532,2.671627,-0.1618312,0.980335,21.90894,-97.2591,21.096487,-27.592798,33.01092,-8.269973,2.4833212,16.5779,-95.75122,-25.844143,26.34568,40.745674,22.840483,-2.7770102,-25.53371,18.514115,11.997271
28,0.2571687996387481,-6.34828519821167,83.85774230957031,1.8615311540733552,3.2961604726368683,94.1068376598888,-0.52064365,4.7861786,20.282932,8.88298,-0.81951225,-1.7960256,-0.87436074,-8.43333,-23.79066,8.122638,0.5197191,2.245424,-0.034472052,1.3118415,25.846619,-103.13767,21.323906,-28.430504,33.42418,-9.011723,2.5511782,16.680092,-102.11431,-26.932016,27.479622,41.267464,22.803116,-3.5409744,-25.720648,18.476784,11.584231
29,0.3279503285884857,-6.842262268066406,82.73823547363281,1.7866659569744363,5.038955841473393,94.06308567276864,-9.694683,7.700354,19.91935,24.49538,-7.934138,-1.3751943,-10.489528,-11.591254,-22.90231,24.919073,-6.8802047,1.4412396,0.033003826,1.5558834,29.447342,-108.41885,21.45198,-29.309238,34.499233,-10.724388,2.1995656,17.169788,-107.94336,-27.884113,28.29866,42.148582,22.8863,-3.6917405,-25.268974,18.534443,10.81988
30,0.3784317970275879,-7.527495861053467,81.08946990966797,1.9621197150563872,7.367432306832994,94.085847918081,-18.613173,9.654328,19.03148,37.213127,-12.866059,-0.53620183,-19.278154,-13.9669,-21.535505,37.452377,-11.743417,0.74609023,0.13463578,1.6467661,29.793802,-110.70442,21.435585,-30.089964,35.658447,-11.299405,2.2101727,17.504587,-110.00628,-28.617922,29.355766,42.799316,22.264881,-4.1052537,-25.914673,19.128455,10.539784
